"transactionid","timestampsec","customerid","item","description","retail_price"
"113203","2016-12-13 17:08:04","100000236","1284609276","Sweater","95.76"
"113202","2016-12-13 17:05:30","100000010","5509524170","Couch Cover","86.68"
"113201","2016-12-13 17:04:47","100000341","6511971572","Sleeping Bag","47.88"
"113200","2016-12-13 17:03:16","100000564","8143229140","Shower Shoes","27.86"
"113199","2016-12-13 16:59:02","400000690","6182400847","Blazer","26.88"
"113198","2016-12-13 16:59:00","200000387","2113413915","Shorts","59.33"
"113197","2016-12-13 16:58:33","400000916","9862518267","Socks","10.84"
"113196","2016-12-13 16:57:23","100000931","3890778939","Suit & 2 pc Dress","125.16"
"113195","2016-12-13 16:53:45","100000345","8068199275","Slacks","87.78"
"113194","2016-12-13 16:53:19","100000144","5997626126","Coat/Jacket","39.55"
"113193","2016-12-13 16:52:36","300000495","3135576553","Underwear","5.88"
"113192","2016-12-13 16:52:34","100000169","6548962456","Dust Ruffle","65.79"
"113191","2016-12-13 16:51:25","300000702","7841340144","Shirt","29.4"
"113190","2016-12-13 16:51:08","100000383","7010679527","Blanket","63.84"
"113189","2016-12-13 16:50:19","200000646","3750666773","Waterbed Sheet","79.8"
"113188","2016-12-13 16:49:38","400000398","7645689457","Apron","9.48"
"113187","2016-12-13 16:45:36","100000192","6511971572","Sleeping Bag","47.88"
"113186","2016-12-13 16:45:00","100000315","6697166886","Coat","159.8"
"113185","2016-12-13 16:42:24","100000181","7833392032","Skirt","55.86"
"113184","2016-12-13 16:40:51","300000814","8269421724","Long Overalls","124.75"
"113183","2016-12-13 16:39:44","100000854","9313710898","Dish Towel","32.23"
"113182","2016-12-13 16:38:24","100000286","2430071492","Dust Ruffle","41.86"
"113181","2016-12-13 16:38:12","200000548","1284609276","Sweater","95.76"
"113180","2016-12-13 16:37:28","100000145","8675740287","Baby Quilt","47.76"
"113179","2016-12-13 16:33:11","100000412","2876522496","Jacket","99.8"
"113178","2016-12-13 16:31:57","200000350","6228611532","Valance","47.76"
"113177","2016-12-13 16:26:19","100000724","3382973348","Top","81.76"
"113176","2016-12-13 16:24:23","400000653","4934584980","Nylon Pants","55.86"
"113175","2016-12-13 16:23:41","100000136","8586814459","Gown & Robe Set","65.64"
"113174","2016-12-13 16:23:34","300000271","9538578209","Dress","87.36"
"113173","2016-12-13 16:22:53","100000285","5480721202","Shirt","67.83"
"113172","2016-12-13 16:22:46","200000523","4291344502","Long Overalls","55.62"
"113171","2016-12-13 16:22:33","100000154","8619953091","Pillowcase","18.96"
"113170","2016-12-13 16:21:27","200000071","6648383061","Long Slip","27.86"
"113169","2016-12-13 16:20:07","100000520","1737807900","Tie","68.64"
"113168","2016-12-13 16:18:19","100000451","7502168586","Baby Quilt","38.06"
"113167","2016-12-13 16:16:59","100000546","7425260271","Mattress Cover","35.44"
"113166","2016-12-13 16:14:13","300000636","3305177499","Coveralls (long sleeve)","95.88"
"113165","2016-12-13 16:13:21","100000936","8213207925","Underwear & Boxers","23.76"
"113164","2016-12-13 16:13:16","200000819","6648383061","Long Slip","27.86"
"113163","2016-12-13 16:10:19","100000171","2430071492","Dust Ruffle","41.86"
"113162","2016-12-13 16:09:47","100000042","6511971572","Sleeping Bag","47.88"
"113161","2016-12-13 16:09:03","300000597","1988250904","Coat","74.16"
"113160","2016-12-13 16:08:09","300000597","5997626126","Coat/Jacket","39.55"
"113159","2016-12-13 16:04:24","200000896","6182400847","Blazer","26.88"
"113158","2016-12-13 16:01:56","400000472","1336619171","Slacks","63.84"
"113157","2016-12-13 16:00:19","100000919","4291344502","Long Overalls","55.62"
"113156","2016-12-13 15:57:49","100000422","1336619171","Slacks","63.84"
"113155","2016-12-13 15:57:44","200000819","9313710898","Dish Towel","32.23"
"113154","2016-12-13 15:56:29","100000294","1737807900","Tie","68.64"
"113153","2016-12-13 15:56:10","100000841","2113413915","Shorts","59.33"
"113152","2016-12-13 15:54:09","100000544","3256419181","Short Slip","102"
"113151","2016-12-13 15:52:44","300000734","2355020550","Sweater","67.92"
"113150","2016-12-13 15:52:18","300000633","7502168586","Baby Quilt","38.06"
"113149","2016-12-13 15:51:50","200000646","1988250904","Coat","74.16"
"113148","2016-12-13 15:50:15","400000515","1303837083","Suit","19.4"
"113147","2016-12-13 15:50:14","100000170","2695940506","Sweater","59.4"
"113146","2016-12-13 15:49:29","100000330","2355020550","Sweater","67.92"
"113145","2016-12-13 15:48:50","100000558","8213207925","Underwear & Boxers","23.76"
"113144","2016-12-13 15:48:27","400000914","5145202479","Crib Sheet","9.9"
"113143","2016-12-13 15:48:13","100000293","5480721202","Shirt","67.83"
"113142","2016-12-13 15:45:59","100000443","1489444777","Short Gown","131.12"
"113141","2016-12-13 15:45:49","200000363","2782517448","Belt","45.77"
"113140","2016-12-13 15:43:39","100000170","3256419181","Short Slip","102"
"113139","2016-12-13 15:41:28","200000102","8262662751","Suit","109.89"
"113138","2016-12-13 15:39:04","100000091","8948840620","Gloves","19.8"
"113137","2016-12-13 15:36:22","200000352","8586814459","Gown & Robe Set","65.64"
"113136","2016-12-13 15:35:49","100000574","2557931901","Short Gown","47.76"
"113135","2016-12-13 15:34:56","200000492","9873264896","Hat","10.89"
"113134","2016-12-13 15:34:46","200000940","6660530324","Washcloth","35.14"
"113133","2016-12-13 15:33:16","400000795","5480721202","Shirt","67.83"
"113132","2016-12-13 15:32:03","100000294","1039854547","Coat","135.83"
"113131","2016-12-13 15:32:00","100000049","2557931901","Short Gown","47.76"
"113130","2016-12-13 15:30:37","100000141","9873264896","Hat","10.89"
"113129","2016-12-13 15:30:20","300000611","1893735141","Socks","115.5"
"113128","2016-12-13 15:28:16","100000030","4622769035","Short Gown","78"
"113127","2016-12-13 15:28:12","200000607","8864799421","Valance","31.8"
"113126","2016-12-13 15:27:56","200000938","2588421965","Commode Cover","15.84"
"113125","2016-12-13 15:27:39","100000247","4584868492","T-shirt","61.38"
"113124","2016-12-13 15:24:29","200000762","5050067655","Bottoms","66.96"
"113123","2016-12-13 15:23:46","200000043","6917448328","Socks","8.82"
"113122","2016-12-13 15:22:36","100000709","5127562193","Robe","95.76"
"113121","2016-12-13 15:21:51","100000255","9195451761","Hand Towel","51.66"
"113120","2016-12-13 15:14:12","200000791","4924918902","T-shirt","62.79"
"113119","2016-12-13 15:11:28","100000182","6648383061","Long Slip","27.86"
"113118","2016-12-13 15:10:45","200000747","1737807900","Tie","68.64"
"113117","2016-12-13 15:08:52","100000923","2782517448","Belt","45.77"
"113116","2016-12-13 15:08:01","200000066","2876522496","Jacket","99.8"
"113115","2016-12-13 15:07:14","300000592","2782517448","Belt","45.77"
"113114","2016-12-13 15:07:10","300000268","1284609276","Sweater","95.76"
"113113","2016-12-13 15:07:01","300000731","4391642886","Men's Pajama Set","83.79"
"113112","2016-12-13 15:06:07","300000393","2210750188","Blazer","119.76"
"113111","2016-12-13 15:05:54","200000663","2557931901","Short Gown","47.76"
"113110","2016-12-13 15:05:10","100000378","4619440506","Shorts","69.75"
"113109","2016-12-13 15:05:05","100000839","6182617964","Long Gown","97.11"
"113108","2016-12-13 15:02:25","300000524","5127562193","Robe","95.76"
"113107","2016-12-13 15:00:05","400000691","1039854547","Coat","135.83"
"113106","2016-12-13 14:58:56","300000597","2588421965","Commode Cover","15.84"
"113105","2016-12-13 14:58:20","200000459","3126356136","Formal Dress","99.9"
"113104","2016-12-13 14:57:37","100000132","5509524170","Couch Cover","86.68"
"113103","2016-12-13 14:56:28","100000746","2153011099","Gown & Robe Set","99.8"
"113102","2016-12-13 14:56:22","100000841","8864799421","Valance","31.8"
"113101","2016-12-13 14:55:57","100000331","2524845521","Gown & Robe Set","105.6"
"113100","2016-12-13 14:51:31","400000829","8213207925","Underwear & Boxers","23.76"
"113099","2016-12-13 14:47:17","100000377","3256419181","Short Slip","102"
"113098","2016-12-13 14:44:05","200000715","8143229140","Shower Shoes","27.86"
"113097","2016-12-13 14:43:49","400000740","1988250904","Coat","74.16"
"113096","2016-12-13 14:40:01","200000100","7690258628","Baby Blanket","21.93"
"113095","2016-12-13 14:38:36","300000717","6228611532","Valance","47.76"
"113094","2016-12-13 14:38:27","100000642","8586814459","Gown & Robe Set","65.64"
"113093","2016-12-13 14:38:06","200000726","1940915493","Long Gown","68.77"
"113092","2016-12-13 14:37:25","100000344","5187883584","Dish Towel","49.5"
"113091","2016-12-13 14:36:33","100000723","5480721202","Shirt","67.83"
"113090","2016-12-13 14:35:29","300000271","3305177499","Coveralls (long sleeve)","95.88"
"113089","2016-12-13 14:34:06","100000677","3405268556","Handbag","114.77"
"113088","2016-12-13 14:31:17","200000610","3132788435","Coat","30.06"
"113087","2016-12-13 14:30:35","100000877","2355020550","Sweater","67.92"
"113086","2016-12-13 14:30:24","100000835","2363094138","Short Overalls","71.82"
"113085","2016-12-13 14:30:13","200000619","9313710898","Dish Towel","32.23"
"113084","2016-12-13 14:27:31","100000724","2248992375","Sweater","61.38"
"113083","2016-12-13 14:25:34","100000851","6228611532","Valance","47.76"
"113082","2016-12-13 14:25:03","200000725","2210750188","Blazer","119.76"
"113081","2016-12-13 14:24:54","200000447","1039854547","Coat","135.83"
"113080","2016-12-13 14:22:56","100000489","9862518267","Socks","10.84"
"113079","2016-12-13 14:18:41","300000812","3750666773","Waterbed Sheet","79.8"
"113078","2016-12-13 14:16:36","100000142","3750666773","Waterbed Sheet","79.8"
"113077","2016-12-13 14:14:27","200000588","4538875409","Couch Cover","79.8"
"113076","2016-12-13 14:14:15","200000482","4574639519","Jeans","14.5"
"113075","2016-12-13 14:12:42","400000514","6991736764","Pillow Sham","19.8"
"113074","2016-12-13 14:11:04","100000709","3390230025","Top","33.48"
"113073","2016-12-13 14:10:32","200000534","5145202479","Crib Sheet","9.9"
"113072","2016-12-13 14:08:44","100000205","3132788435","Coat","30.06"
"113071","2016-12-13 14:07:57","200000385","7841340144","Shirt","29.4"
"113070","2016-12-13 14:07:48","200000389","5127562193","Robe","95.76"
"113069","2016-12-13 14:06:25","100000489","2695940506","Sweater","59.4"
"113068","2016-12-13 14:06:02","200000793","2876522496","Jacket","99.8"
"113067","2016-12-13 14:04:59","100000041","3962085980","Sleeper","61.38"
"113066","2016-12-13 14:03:41","100000130","4622769035","Short Gown","78"
"113065","2016-12-13 14:00:07","100000921","1336619171","Slacks","63.84"
"113064","2016-12-13 13:56:18","100000832","8619953091","Pillowcase","18.96"
"113063","2016-12-13 13:55:25","200000749","8713824671","Infant 2 Piece Set","48.6"
"113062","2016-12-13 13:54:52","200000622","8586814459","Gown & Robe Set","65.64"
"113061","2016-12-13 13:53:11","100000930","8068199275","Slacks","87.78"
"113060","2016-12-13 13:51:51","100000640","8624682735","Coat","77.77"
"113059","2016-12-13 13:51:15","100000400","8694351166","Chair Cover","38.87"
"113058","2016-12-13 13:47:58","200000047","8948840620","Gloves","19.8"
"113057","2016-12-13 13:47:08","100000879","6661671897","Swimwear","50.83"
"113056","2016-12-13 13:47:03","100000931","4538875409","Couch Cover","79.8"
"113055","2016-12-13 13:45:24","400000639","7690258628","Baby Blanket","21.93"
"113054","2016-12-13 13:45:24","200000043","3390230025","Top","33.48"
"113053","2016-12-13 13:45:14","100000232","3135576553","Underwear","5.88"
"113052","2016-12-13 13:43:28","300000731","7463357829","Infant 2 Piece Set","49.8"
"113051","2016-12-13 13:36:02","200000508","3819369487","Dish Towel","7.84"
"113050","2016-12-13 13:35:15","200000186","5187883584","Dish Towel","49.5"
"113049","2016-12-13 13:30:49","300000704","1082405301","Blazer","119.76"
"113048","2016-12-13 13:30:41","200000260","3750666773","Waterbed Sheet","79.8"
"113047","2016-12-13 13:29:29","100000332","1284609276","Sweater","95.76"
"113046","2016-12-13 13:27:43","300000357","1319286996","Gowns/Pajamas","47.43"
"113045","2016-12-13 13:26:05","100000306","3123824581","Sweatpants","43.89"
"113044","2016-12-13 13:24:39","100000229","6991736764","Pillow Sham","19.8"
"113043","2016-12-13 13:23:41","100000154","7270957383","Scarf","29.85"
"113042","2016-12-13 13:23:24","200000682","9870137717","Crib Sheet","53.9"
"113041","2016-12-13 13:23:15","100000233","5310615417","Tie","41.79"
"113040","2016-12-13 13:21:13","100000402","5997626126","Coat/Jacket","39.55"
"113039","2016-12-13 13:20:40","100000881","3495221948","Suit & 2 pc Dress","38.12"
"113038","2016-12-13 13:18:23","100000176","2178891798","Hand Towel","18.17"
"113037","2016-12-13 13:17:34","100000809","2020397001","Men's Pajama Set","23.1"
"113036","2016-12-13 13:17:02","100000847","4619440506","Shorts","69.75"
"113035","2016-12-13 13:16:53","200000448","6660530324","Washcloth","35.14"
"113034","2016-12-13 13:13:02","400000441","5509524170","Couch Cover","86.68"
"113033","2016-12-13 13:12:07","200000683","3132788435","Coat","30.06"
"113032","2016-12-13 13:11:27","200000942","3405268556","Handbag","114.77"
"113031","2016-12-13 13:11:06","200000646","4934584980","Nylon Pants","55.86"
"113030","2016-12-13 13:09:39","100000445","6719567315","Blouse","47.88"
"113029","2016-12-13 13:08:59","100000543","3126356136","Formal Dress","99.9"
"113028","2016-12-13 13:08:29","100000249","4622769035","Short Gown","78"
"113027","2016-12-13 13:07:50","300000666","1940915493","Long Gown","68.77"
"113026","2016-12-13 13:07:32","200000486","8713824671","Infant 2 Piece Set","48.6"
"113025","2016-12-13 13:07:21","400000690","2782517448","Belt","45.77"
"113024","2016-12-13 13:05:52","200000587","3962085980","Sleeper","61.38"
"113023","2016-12-13 13:03:51","200000716","9223468295","Bath Mat","23.88"
"113022","2016-12-13 13:03:46","100000227","4924918902","T-shirt","62.79"
"113021","2016-12-13 13:03:17","300000913","5608950888","Suit & 2 pc Dress","112.35"
"113020","2016-12-13 13:02:45","200000109","6182617964","Long Gown","97.11"
"113019","2016-12-13 13:02:27","100000284","5153370805","Shorts","43.96"
"113018","2016-12-13 13:02:06","400000755","6228611532","Valance","47.76"
"113017","2016-12-13 12:58:15","100000203","2963300774","Sweatshirt","75.81"
"113016","2016-12-13 12:56:52","300000528","8586814459","Gown & Robe Set","65.64"
"113015","2016-12-13 12:56:21","100000142","8864799421","Valance","31.8"
"113014","2016-12-13 12:53:56","100000092","2153011099","Gown & Robe Set","99.8"
"113013","2016-12-13 12:53:01","100000880","2926937052","Washcloth","10.78"
"113012","2016-12-13 12:53:00","100000501","8619953091","Pillowcase","18.96"
"113011","2016-12-13 12:46:00","200000536","1893735141","Socks","115.5"
"113010","2016-12-13 12:43:33","100000572","7833392032","Skirt","55.86"
"113009","2016-12-13 12:42:16","200000370","1336619171","Slacks","63.84"
"113008","2016-12-13 12:42:04","200000591","2524845521","Gown & Robe Set","105.6"
"113007","2016-12-13 12:38:34","200000349","6182400847","Blazer","26.88"
"113006","2016-12-13 12:36:51","200000301","2926937052","Washcloth","10.78"
"113005","2016-12-13 12:34:17","100000304","3390230025","Top","33.48"
"113004","2016-12-13 12:33:32","200000842","8269421724","Long Overalls","124.75"
"113003","2016-12-13 12:32:26","100000928","8864799421","Valance","31.8"
"113002","2016-12-13 12:32:08","300000736","6991736764","Pillow Sham","19.8"
"113001","2016-12-13 12:31:07","200000414","4681342313","Sheets","29.9"
"113000","2016-12-13 12:30:20","100000871","8058527540","Jeans","35.91"
"112999","2016-12-13 12:29:59","100000273","4934584980","Nylon Pants","55.86"
"112998","2016-12-13 12:28:43","300000888","3126356136","Formal Dress","99.9"
"112997","2016-12-13 12:28:29","100000605","2355020550","Sweater","67.92"
"112996","2016-12-13 12:28:24","300000340","8586814459","Gown & Robe Set","65.64"
"112995","2016-12-13 12:27:41","400000470","8586814459","Gown & Robe Set","65.64"
"112994","2016-12-13 12:26:09","400000002","5509524170","Couch Cover","86.68"
"112993","2016-12-13 12:22:38","300000777","5736433915","Mattress Cover","65.78"
"112992","2016-12-13 12:22:31","100000922","2963300774","Sweatshirt","75.81"
"112991","2016-12-13 12:21:52","400000515","3132788435","Coat","30.06"
"112990","2016-12-13 12:20:58","200000903","7270957383","Scarf","29.85"
"112989","2016-12-13 12:18:21","200000408","3390230025","Top","33.48"
"112988","2016-12-13 12:18:12","200000110","2588421965","Commode Cover","15.84"
"112987","2016-12-13 12:17:38","100000148","2178891798","Hand Towel","18.17"
"112986","2016-12-13 12:17:01","100000873","9916068026","Gowns/Pajamas","118.14"
"112985","2016-12-13 12:16:17","300000612","2430071492","Dust Ruffle","41.86"
"112984","2016-12-13 12:15:03","200000632","6648383061","Long Slip","27.86"
"112983","2016-12-13 12:12:31","100000157","4398051135","Bra","6"
"112982","2016-12-13 12:12:20","100000626","3962085980","Sleeper","61.38"
"112981","2016-12-13 12:10:38","300000729","4327321762","Dress","69.75"
"112980","2016-12-13 12:10:21","100000656","2524845521","Gown & Robe Set","105.6"
"112979","2016-12-13 12:10:07","400000470","9873264896","Hat","10.89"
"112978","2016-12-13 12:08:35","300000550","8262662751","Suit","109.89"
"112977","2016-12-13 12:08:32","100000809","7841340144","Shirt","29.4"
"112976","2016-12-13 12:08:26","200000579","1737807900","Tie","68.64"
"112975","2016-12-13 12:07:44","400000758","1489444777","Short Gown","131.12"
"112974","2016-12-13 12:07:37","100000178","9166887914","Sweater","95.76"
"112973","2016-12-13 12:07:19","100000346","9873264896","Hat","10.89"
"112972","2016-12-13 12:06:55","100000316","7463357829","Infant 2 Piece Set","49.8"
"112971","2016-12-13 12:05:41","100000444","7463357829","Infant 2 Piece Set","49.8"
"112970","2016-12-13 12:05:09","100000882","1737807900","Tie","68.64"
"112969","2016-12-13 12:02:52","100000643","7425260271","Mattress Cover","35.44"
"112968","2016-12-13 12:02:19","200000586","3305177499","Coveralls (long sleeve)","95.88"
"112967","2016-12-13 12:02:12","200000384","3452086694","Bra","38.87"
"112966","2016-12-13 12:00:28","100000172","2020397001","Men's Pajama Set","23.1"
"112965","2016-12-13 11:58:38","100000657","4291344502","Long Overalls","55.62"
"112964","2016-12-13 11:58:01","100000316","3750666773","Waterbed Sheet","79.8"
"112963","2016-12-13 11:56:18","200000482","8586814459","Gown & Robe Set","65.64"
"112962","2016-12-13 11:55:20","200000361","5480721202","Shirt","67.83"
"112961","2016-12-13 11:54:04","100000679","3390230025","Top","33.48"
"112960","2016-12-13 11:50:29","100000130","8619953091","Pillowcase","18.96"
"112586","2016-12-13 03:17:56","200000482","6697166886","Coat","159.8"
"112959","2016-12-13 11:49:45","300000496","3795753080","Jeans","38.1"
"112958","2016-12-13 11:48:13","300000687","2524845521","Gown & Robe Set","105.6"
"112957","2016-12-13 11:47:48","100000840","8269421724","Long Overalls","124.75"
"112956","2016-12-13 11:46:38","200000339","3123824581","Sweatpants","43.89"
"112955","2016-12-13 11:43:53","300000430","5997626126","Coat/Jacket","39.55"
"112954","2016-12-13 11:43:41","100000216","1319286996","Gowns/Pajamas","47.43"
"112953","2016-12-13 11:41:26","300000814","1160651321","Coat","93.9"
"112952","2016-12-13 11:41:14","200000803","9223468295","Bath Mat","23.88"
"112951","2016-12-13 11:40:22","100000771","7841340144","Shirt","29.4"
"112950","2016-12-13 11:40:14","200000763","5857761910","Gowns/Pajamas","28.14"
"112949","2016-12-13 11:39:20","100000064","2695940506","Sweater","59.4"
"112948","2016-12-13 11:38:30","100000878","2695940506","Sweater","59.4"
"112947","2016-12-13 11:38:21","300000597","3495221948","Suit & 2 pc Dress","38.12"
"112946","2016-12-13 11:37:14","100000906","8694351166","Chair Cover","38.87"
"112945","2016-12-13 11:34:46","100000781","5509524170","Couch Cover","86.68"
"112944","2016-12-13 11:30:34","200000700","6265788387","Commode Cover","58.1"
"112943","2016-12-13 11:30:06","200000076","4574639519","Jeans","14.5"
"112942","2016-12-13 11:29:30","400000113","5480721202","Shirt","67.83"
"112941","2016-12-13 11:27:46","200000659","2430071492","Dust Ruffle","41.86"
"112940","2016-12-13 11:26:11","100000219","1737807900","Tie","68.64"
"112939","2016-12-13 11:25:24","100000286","6265788387","Commode Cover","58.1"
"112938","2016-12-13 11:23:57","100000195","6697166886","Coat","159.8"
"112937","2016-12-13 11:21:50","200000684","8262662751","Suit","109.89"
"112936","2016-12-13 11:20:49","200000261","1988250904","Coat","74.16"
"112935","2016-12-13 11:19:00","400000517","3382973348","Top","81.76"
"112934","2016-12-13 11:18:23","100000858","1737807900","Tie","68.64"
"112933","2016-12-13 11:18:11","100000694","5187373849","Short Slip","12.87"
"112932","2016-12-13 11:17:32","200000747","1319286996","Gowns/Pajamas","47.43"
"112931","2016-12-13 11:13:34","100000878","5145202479","Crib Sheet","9.9"
"112930","2016-12-13 11:13:28","100000091","7690258628","Baby Blanket","21.93"
"112929","2016-12-13 11:12:53","100000326","8262662751","Suit","109.89"
"112928","2016-12-13 11:10:33","200000912","1082405301","Blazer","119.76"
"112927","2016-12-13 11:09:23","300000815","3819369487","Dish Towel","7.84"
"112926","2016-12-13 11:09:09","100000885","5736433915","Mattress Cover","65.78"
"112925","2016-12-13 11:07:01","100000328","7841340144","Shirt","29.4"
"112924","2016-12-13 11:06:10","200000389","9280265561","Coat/Jacket","59.85"
"112923","2016-12-13 11:01:37","100000383","9195451761","Hand Towel","51.66"
"112922","2016-12-13 11:01:26","100000249","6661671897","Swimwear","50.83"
"112921","2016-12-13 10:57:32","100000344","4924918902","T-shirt","62.79"
"112920","2016-12-13 10:57:25","200000457","5145202479","Crib Sheet","9.9"
"112919","2016-12-13 10:57:11","100000305","8262662751","Suit","109.89"
"112918","2016-12-13 10:56:38","100000881","8068199275","Slacks","87.78"
"112917","2016-12-13 10:55:03","200000644","9195451761","Hand Towel","51.66"
"112916","2016-12-13 10:54:43","300000634","1336619171","Slacks","63.84"
"112915","2016-12-13 10:54:39","100000558","9223468295","Bath Mat","23.88"
"112914","2016-12-13 10:53:55","200000548","7690258628","Baby Blanket","21.93"
"112913","2016-12-13 10:53:32","100000146","2020397001","Men's Pajama Set","23.1"
"112912","2016-12-13 10:49:32","100000322","9538578209","Dress","87.36"
"112911","2016-12-13 10:49:30","200000608","1625450539","Dress","54.89"
"112910","2016-12-13 10:48:26","100000873","3890778939","Suit & 2 pc Dress","125.16"
"112909","2016-12-13 10:47:40","100000746","7010679527","Blanket","63.84"
"112908","2016-12-13 10:46:14","200000039","3750666773","Waterbed Sheet","79.8"
"112907","2016-12-13 10:43:52","200000362","9223468295","Bath Mat","23.88"
"112906","2016-12-13 10:43:13","100000922","4398051135","Bra","6"
"112905","2016-12-13 10:42:32","200000493","6661671897","Swimwear","50.83"
"112904","2016-12-13 10:42:29","100000133","2926937052","Washcloth","10.78"
"112903","2016-12-13 10:42:20","400000639","8143229140","Shower Shoes","27.86"
"112902","2016-12-13 10:40:15","200000661","8948840620","Gloves","19.8"
"112901","2016-12-13 10:39:23","200000661","1082405301","Blazer","119.76"
"112900","2016-12-13 10:35:53","100000306","7833392032","Skirt","55.86"
"112899","2016-12-13 10:35:43","100000205","2248992375","Sweater","61.38"
"112898","2016-12-13 10:35:35","200000631","5187373849","Short Slip","12.87"
"112897","2016-12-13 10:35:22","300000428","3390230025","Top","33.48"
"112896","2016-12-13 10:34:20","100000577","8948840620","Gloves","19.8"
"112895","2016-12-13 10:34:07","100000500","3135576553","Underwear","5.88"
"112894","2016-12-13 10:33:10","200000670","3962085980","Sleeper","61.38"
"112893","2016-12-13 10:32:53","100000123","9223468295","Bath Mat","23.88"
"112892","2016-12-13 10:32:13","300000685","3135576553","Underwear","5.88"
"112891","2016-12-13 10:31:05","100000089","8864799421","Valance","31.8"
"112890","2016-12-13 10:30:01","100000190","4291344502","Long Overalls","55.62"
"112889","2016-12-13 10:26:40","200000191","5480721202","Shirt","67.83"
"112888","2016-12-13 10:24:52","300000633","5145202479","Crib Sheet","9.9"
"112887","2016-12-13 10:23:51","100000277","3452086694","Bra","38.87"
"112886","2016-12-13 10:23:47","100000456","8058527540","Jeans","35.91"
"112885","2016-12-13 10:23:19","300000735","2524845521","Gown & Robe Set","105.6"
"112884","2016-12-13 10:22:34","200000904","2926937052","Washcloth","10.78"
